Ticker,Exchange,Exchange Code,Exchange Full Name,Listing Type,Other Listings,Year Listed,IPO Date,Est Lockup 90d,Est Lockup 180d,ISIN,FIGI,Composite FIGI,Share Class FIGI,CIK,LEI,Company Name,Country (HQ),Country (Listing),Country (ISO),Currency,Website,YF Sector,YF Industry,Sector (JP),Subsector (JP),Sub-subsector (JP),Core,Buy Price,Target Price,Date Added,Notes
COIN,NASDAQ,NMS,NasdaqGS,Primary,,2021,,,,,BBG00ZGF7771,BBG00ZGF7771,BBG00ZGF7799,1679788,,Coinbase Global Inc,United States,United States,USA,USD,https://www.coinbase.com,Financial Services,Financial Data & Stock Exchanges,Financials,,,Y,,,2026-05-03,
CP,NYSE,NYQ,NYSE,ADR/Cross-listed,Primary listing likely in Canada,,,,,CA13646K1084,BBG000BCVMH9,BBG000BCVMH9,BBG001S7F4Z8,16875,,Canadian Pacific Kansas City Ltd,Canada,United States,CAN,USD,https://www.cpkcr.com,Industrials,Railroads,Industrials,,,Y,,,2026-05-03,
CPRT,NASDAQ,NMS,NasdaqGS,Primary,,1994,,,,US2172041061,BBG000BM9RH1,BBG000BM9RH1,BBG001S7MTB1,900075,549300KVYX3JWMYEHU61,Copart Inc.,United States,United States,USA,USD,https://www.copart.com,Industrials,Specialty Business Services,Industrials,,,,,,2026-04-11,
CROX,NASDAQ,NMS,NasdaqGS,Primary,,2006,,,,FR0000050395,BBG000BLY663,BBG000BLY663,BBG001SDGFR8,1334036,969500YEQRY2T8Z7W336,Crocs Inc,United States,United States,USA,USD,https://www.crocs.com,Consumer Cyclical,Footwear & Accessories,Consumer,,,Y,,,2026-05-03,
CRWD,NASDAQ,NMS,NasdaqGS,Primary,,2019,,,,,BBG00BLYKS03,BBG00BLYKS03,BBG00BLYKRZ7,1535527,,"CrowdStrike Holdings, Inc.",United States,United States,USA,USD,https://www.crowdstrike.com,Technology,Software - Infrastructure,Tech,,,Y,,,2026-04-11,
DBX,NASDAQ,NMS,NasdaqGS,Primary,,2018,,,,,BBG0018SLDN0,BBG0018SLDN0,BBG001TFLWN3,1467623,,"Dropbox, Inc.",United States,United States,USA,USD,https://www.dropbox.com,Technology,Software - Infrastructure,Tech,,,Y,,,2026-05-03,
DOCS,NYSE,NYQ,NYSE,Primary,,2021,,,,US26622P1075,BBG0026ZJQX7,BBG0026ZJQX7,BBG0026ZJQY6,1516513,,"Doximity, Inc.",United States,United States,USA,USD,https://www.doximity.com,Healthcare,Health Information Services,Healthcare Services,HIT,,Y,,,2026-04-11,
EHC,NYSE,NYQ,NYSE,Primary,,,,,,,BBG000BGBRG2,BBG000BGBRG2,BBG001S5Q5B3,785161,,Encompass Health Corp,United States,United States,USA,USD,https://www.encompasshealth.com,Healthcare,Medical Care Facilities,Healthcare Services,Post-Acute,,Y,,,2026-04-11,
ENSG,NASDAQ,NMS,NasdaqGS,Primary,,2007,,,,,BBG000K1T9L0,BBG000K1T9L0,BBG001SPNL09,1125376,,Ensign Group Inc,United States,United States,USA,USD,https://ensigngroup.net,Healthcare,Medical Care Facilities,Healthcare Services,Post-Acute,,Y,,,2026-04-11,
FI,NYSE,NYQ,NYSE,Primary,,1986,,,,US3377381088,BBG000BJKQW0,BBG000BJKPG0,BBG001S5R6Q4,798354,GI7UBEJLXYLGR2C7GV83,Fiserv Inc.,United States,United States,USA,USD,https://www.fiserv.com,Technology,Information Technology Services,Financials,,,,,,2026-04-11,
